iter	MultiClass
0	1.338120255
1	1.295694694
2	1.255715084
3	1.221047185
4	1.187062867
5	1.156449874
6	1.127870659
7	1.101180703
8	1.075807775
9	1.053165041
10	1.031095379
11	1.010632005
12	0.9926347336
13	0.9748655876
14	0.9575109997
15	0.9413092156
16	0.9263257312
17	0.9128468213
18	0.8996357393
19	0.8881304456
20	0.8764340609
21	0.8644817482
22	0.8532639605
23	0.8426578493
24	0.8328786274
25	0.8236064316
26	0.8146699231
27	0.8062205801
28	0.7980852837
29	0.7904628809
30	0.7833292021
31	0.7769428256
32	0.7701157585
33	0.7639942848
34	0.7576789334
35	0.7515575916
36	0.746510615
37	0.7408046818
38	0.7356940839
39	0.7306650215
40	0.7261798899
41	0.7216228529
42	0.7170507563
43	0.7126266065
44	0.7085370515
45	0.7045861406
46	0.7011615518
47	0.6972001434
48	0.6935517159
49	0.690192442
50	0.6869413067
51	0.6837860282
52	0.6810409553
53	0.6785892326
54	0.6757664078
55	0.6728429043
56	0.670791688
57	0.6681207833
58	0.6659296928
59	0.6636155319
60	0.6613947471
61	0.6590992229
62	0.6574613972
63	0.6554213072
64	0.65362115
65	0.6518268653
66	0.6499140247
67	0.6479746302
68	0.6462594126
69	0.6445939233
70	0.6432862469
71	0.6415299311
72	0.6399615812
73	0.6384699696
74	0.6372182216
75	0.6360086809
76	0.6347081997
77	0.6335246741
78	0.6322164544
79	0.6311834928
80	0.6300455155
81	0.6287380647
82	0.627715715
83	0.6264732826
84	0.6252982289
85	0.6242697892
86	0.6235243281
87	0.622423122
88	0.6213644247
89	0.6206817613
90	0.6199407596
91	0.6193017727
92	0.6185739518
93	0.6179223013
94	0.6171796532
95	0.616447039
96	0.6157404439
97	0.6150473194
98	0.6144050909
99	0.6138537732
100	0.6131859331
101	0.6126097485
102	0.6119990991
103	0.6112731783
104	0.6106017397
105	0.6099625546
106	0.609526005
107	0.6089202906
108	0.6085504585
109	0.6079275635
110	0.6075177293
111	0.6071044919
112	0.6064621114
113	0.6060463883
114	0.6056282801
115	0.6049827025
116	0.6046133852
117	0.6042668992
118	0.6038053009
119	0.6032928069
120	0.6029574864
121	0.6025895122
122	0.6022238672
123	0.6018152072
124	0.6013762136
125	0.6008641947
126	0.6005491384
127	0.6003244785
128	0.5999565224
129	0.5996807672
130	0.5993623339
131	0.5989831131
132	0.5986812204
133	0.5983303579
134	0.5979604697
135	0.5976478986
136	0.5972716307
137	0.5969043337
138	0.5965454165
139	0.5964395162
140	0.5960189317
141	0.5956158765
142	0.5953546168
143	0.5950946947
144	0.5946814578
145	0.5942972268
146	0.5940987268
147	0.5935006034
148	0.5931361276
149	0.5928481553
150	0.5925565326
151	0.5923066857
152	0.5920280806
153	0.591861165
154	0.5915039113
155	0.5911553117
156	0.5909643094
157	0.5905531471
158	0.5903026312
159	0.5898268339
160	0.5896114388
161	0.5893439816
162	0.5889993513
163	0.5888029588
164	0.5885584132
165	0.588337494
166	0.5881074302
167	0.5878445694
168	0.5876807266
169	0.5873715532
170	0.5871707624
171	0.586915573
172	0.5866026852
173	0.5864712273
174	0.5861644501
175	0.5859021283
176	0.5857150032
177	0.585572951
178	0.5853239994
179	0.5851986735
180	0.5849954407
181	0.5849526717
182	0.5846819155
183	0.5843090633
184	0.5841432141
185	0.5839261709
186	0.5835644731
187	0.5833518891
188	0.5831699776
189	0.5829839655
190	0.5828163426
191	0.582607517
192	0.5824969646
193	0.5822962205
194	0.5820604636
195	0.5817344814
196	0.5815866984
197	0.5814471965
198	0.5812222376
199	0.5810749767
200	0.5808722959
201	0.5805560881
202	0.5803554191
203	0.5801695912
204	0.5800365744
205	0.5798420939
206	0.5796430593
207	0.5794404566
208	0.5793107353
209	0.5791207687
210	0.5789298197
211	0.5787462508
212	0.5784588302
213	0.5782374464
214	0.5779904541
215	0.5778569354
216	0.5776215031
217	0.5774982187
218	0.5773337135
219	0.5771955805
220	0.577029427
