iter	Passed	Remaining
0	159	159428
1	171	85549
2	183	60898
3	193	48211
4	203	40455
5	213	35409
6	223	31709
7	234	29068
8	246	27106
9	257	25476
10	267	24027
11	277	22846
12	286	21762
13	297	20921
14	307	20195
15	316	19489
16	327	18950
17	341	18642
18	356	18389
19	366	17950
20	377	17588
21	390	17380
22	404	17167
23	414	16876
24	428	16712
25	443	16614
26	456	16464
27	466	16191
28	477	15997
29	489	15825
30	501	15669
31	511	15461
32	521	15292
33	530	15078
34	540	14895
35	549	14724
36	559	14555
37	570	14436
38	580	14306
39	592	14218
40	604	14143
41	615	14037
42	625	13914
43	635	13810
44	646	13713
45	656	13616
46	666	13523
47	676	13416
48	685	13313
49	699	13281
50	716	13324
51	730	13315
52	750	13402
53	765	13406
54	780	13408
55	792	13366
56	806	13341
57	822	13356
58	834	13313
59	845	13240
60	855	13170
61	866	13111
62	876	13037
63	887	12976
64	898	12927
65	910	12879
66	922	12844
67	934	12804
68	946	12767
69	956	12714
70	968	12673
71	980	12631
72	994	12625
73	1008	12624
74	1024	12632
75	1041	12664
76	1056	12662
77	1069	12647
78	1083	12637
79	1098	12628
80	1109	12589
81	1121	12550
82	1132	12517
83	1145	12488
84	1154	12430
85	1166	12393
86	1179	12373
87	1187	12302
88	1198	12271
89	1210	12242
90	1218	12166
91	1229	12136
92	1240	12102
93	1251	12062
94	1263	12037
95	1271	11971
96	1279	11910
97	1291	11884
98	1302	11852
99	1313	11822
100	1322	11769
101	1329	11707
102	1341	11678
103	1350	11633
104	1359	11587
105	1369	11546
106	1380	11517
107	1390	11486
108	1397	11423
109	1409	11405
110	1417	11350
111	1427	11321
112	1439	11298
113	1446	11243
114	1457	11218
115	1465	11164
116	1474	11124
117	1483	11090
118	1491	11043
119	1503	11025
120	1511	10977
121	1520	10941
122	1529	10907
123	1566	11069
124	1578	11052
125	1588	11015
126	1596	10973
127	1606	10943
128	1618	10924
129	1627	10890
130	1636	10855
131	1643	10805
132	1654	10788
133	1665	10764
134	1675	10733
135	1688	10727
136	1699	10703
137	1706	10657
138	1716	10631
139	1724	10592
140	1735	10574
141	1746	10555
142	1754	10516
143	1765	10493
144	1772	10450
145	1781	10422
146	1788	10379
147	1798	10354
148	1807	10323
149	1819	10308
150	1828	10281
151	1836	10244
152	1846	10219
153	1853	10180
154	1861	10146
155	1870	10118
156	1878	10083
157	1885	10049
158	1895	10024
159	1901	9984
160	1910	9953
161	1917	9919
162	1926	9892
163	1935	9868
